title,p10,q1,median,q3,p90,average,company_industry,correct_job_level,state
IT Netzwerkmanager,44300,53700,65600,80200,96000,68900,Information Technology IT,Senior,
IT Produktionsplaner/-steuerer,45000,55000,67600,82600,98900,71000,Information Technology IT,,
IT Produktmanager,46700,55900,68300,83500,100000,71700,Information Technology IT,Senior,
IT Projektleitung,48300,57900,70700,86400,103500,74300,Information Technology IT,Lead,
IT QualitÃ¤tsmanager,44600,53500,65400,79900,95700,68700,Information Technology IT,Senior,
IT Security Manager,54400,65600,80200,98000,117300,84200,Information Technology IT,Senior,
IT Requirements Engineer,48600,58800,71800,87700,105000,75400,Information Technology IT,,
IT Service Level Manager,49200,58900,72000,88000,105400,75600,Information Technology IT,Senior,
IT Software Architekt,51200,61300,74900,91600,109600,78700,Information Technology IT,,
IT Softwareingenieur,45800,54800,67000,81800,98000,70300,Information Technology IT,,
IT Supporter,33400,39500,47100,56100,65800,48900,Information Technology IT,,
IT Systemadministrator (Systembetreuer),41000,49200,60100,73400,87900,63100,Information Technology IT,,
IT Systemanalyst/Systemplaner,49300,59100,72200,88200,105600,75800,Information Technology IT,,
IT Systemingenieur,46100,55200,67500,82400,98700,70800,Information Technology IT,,
IT Trainingskoordinator,43200,52000,63600,77700,93000,66800,Information Technology IT,,
IT User Helpdesk-Spezialist,34600,41100,49000,58500,68500,50900,Information Technology IT,Mid,
Leitung Anwendungsentwicklung (Applications),55900,70300,90700,117000,147200,98200,Information Technology IT,Lead,
Java Entwickler,44000,53800,66100,80700,96600,69400,Information Technology IT,,
Leitung Data Management,57600,72400,93500,120600,151700,101200,Information Technology IT,Lead,
Leitung IT,58800,73900,95400,123100,154800,103300,Information Technology IT,Lead,
Leitung IT Architektur Methoden und Werkzeuge,56300,70800,91400,118000,148400,99000,Information Technology IT,Lead,
Leitung IT Betrieb (Operations),52100,65500,84500,109000,137100,91500,Information Technology IT,Lead,
Leitung IT Projektmanagement,53100,66800,86200,111300,139900,93300,Information Technology IT,Lead,
Leitung IT QualitÃ¤tsmanagement,53400,67100,86700,111800,140700,93800,Information Technology IT,Lead,
Leitung IT Service,55300,69600,89800,115800,145700,97200,Information Technology IT,Lead,
Leitung IT Security,58200,73200,94500,121900,153400,102300,Information Technology IT,Lead,
Leitung Netzwerktechnik und Telekommunikation,56900,71600,92400,119200,149900,100000,Information Technology IT,Lead,
Leitung SAP Anwendungen,54800,69000,89000,114900,144500,96400,Information Technology IT,Lead,
Operator,31700,37700,44900,53600,62800,46600,Information Technology IT,,
Product Owner,47500,56900,69500,84900,101600,73000,Information Technology IT,,
SAP Architekt,55200,66100,80700,98600,118100,84800,Information Technology IT,,
SAP Basis Expert,46000,55000,67300,82200,98400,70600,Information Technology IT,,
SAP Berater,47700,57200,69900,85400,102200,73400,Information Technology IT,,
SAP Entwickler,50700,60800,74200,90700,108600,78000,Information Technology IT,,
Scrum Master,45000,53900,65800,80400,96300,69100,Information Technology IT,,
Spezialist IT,42200,50900,62200,76000,91000,65400,Information Technology IT,Mid,
Systemprogrammierer,49300,60200,73700,90000,107800,77400,Information Technology IT,,
UX/UI Designer,40900,49000,59800,73100,87600,62900,Information Technology IT,,
Webentwickler,41100,49400,60300,73700,88200,63300,Information Technology IT,,
Abteilungs-/Teamsekretariatskraft,33000,39300,46900,56000,65600,48700,Administration,,
"Bereichssekretariatskraft, Projektassistenz",39000,46400,55300,66000,77300,57400,Administration,,
Chefsekretariatskraft,41200,48400,57800,68900,80700,60000,Administration,,
Empfangskraft/Telefondienst,28400,33900,40600,48400,56700,42100,Administration,,
"Fremdsprachensekretariatskraft, -korrespondenz",38400,45700,54800,65300,76500,56900,Administration,,
Fachkraft Servicebereich (z. B. KÃ¼che/Catering/Reinigung),25200,28200,32000,36200,40500,32600,Administration,Junior,
Hausmeister,32800,36700,41600,47100,52700,42400,Administration,,
Leitung Allgemeine Verwaltung/Organisation,56200,70700,91200,117700,148000,98700,Administration,Lead,
Leitung Betriebsorganisation,55500,69900,90200,116300,146300,97600,Administration,Lead,
Leitung Immobilienmanagement/Facility Management,51000,64200,82800,106900,134500,89700,Administration,Lead,
Leitung Security,47900,60300,77800,100400,126300,84200,Administration,Lead,
Leitung Servicebereich (z. B. KÃ¼che/Catering/Reinigung),31300,39400,50900,65600,82600,55100,Administration,Lead,
Sachbearbeitung Verwaltung/Organisation,32200,38300,45600,54400,63700,47400,Administration,Junior,
Schreibkraft,28600,34000,40600,48400,56700,42100,Administration,,
Security Professional,39500,47300,57800,70600,84600,60700,Administration,Mid,
Sekretariatskraft (unspezifiziert),37200,44300,52800,62900,73800,54800,Administration,,
Spezialist Immobilienmanagement/Facility Management,41400,49600,60600,74100,88700,63700,Administration,Mid,
Spezialist Verwaltung/Organisation,44500,53200,65000,79500,95200,68300,Administration,Mid,
Wachdienst,34600,38700,43800,49600,55500,44600,Administration,,
Leitung Firmenkunden,58100,73000,94200,121600,153000,102000,Banking,Lead,
Leitung Gewerbekunden,64200,80700,104200,134400,169100,112800,Banking,Lead,
Leitung Individualkunden/Mass Affluent,49700,62500,80600,104000,130900,87300,Banking,Lead,
Leitung Kreditabwicklung,49500,62200,80300,103600,130300,86900,Banking,Lead,
Leitung Kreditadministration,56700,71300,92000,118700,149300,99600,Banking,Lead,
Leitung Kreditanalyse (inkl. Sicherheitenbewertung),56300,70800,91400,117900,148300,98900,Banking,Lead,
Leitung Marktfolge Aktiv,62200,78300,101000,130400,164000,109400,Banking,Lead,
Leitung Marktfolge Passiv,45700,57500,74200,95800,120500,80400,Banking,Lead,
Leitung Problemkreditmanagement/Sanierung,52000,65400,84400,108900,137000,91400,Banking,Lead,
Leitung Unternehmenskunden,57900,72800,94000,121200,152500,101700,Banking,Lead,
Leitung Wealth Management,62400,78400,101200,130600,164300,109600,Banking,Lead,
Regionalleitung/Gebietsleitung/Filialleitung,56500,71000,91600,118300,148800,99200,Banking,Lead,
Spezialist Kreditabwicklung,43900,52500,64200,78400,93900,67400,Banking,Mid,
Spezialist Kreditanalyse (inkl. Sicherheitenbewertung),41400,49600,60600,74100,88700,63700,Banking,Mid,
Spezialist Problemkreditmanagement/Sanierung,49800,59700,72900,89100,106700,76600,Banking,Mid,
Wealth Management Analyst,42800,51300,62700,76600,91700,65800,Banking,,
Consultant Unternehmensberatung,43700,52400,64000,78200,93600,67200,Business Consulting,,
Director & Partner/Principal Unternehmensberatung,63500,79900,103100,133100,167400,111700,Business Consulting,Lead,
Director/Senior Manager WirtschaftsprÃ¼fung,62500,78600,101500,130900,164700,109800,Business Consulting,Lead,
Agile Coach,48400,59100,72400,88500,106000,76100,Business Planning Development,,
Expert Expansion,47200,56500,69000,84300,101000,72500,Business Planning Development,,
Leitung Expansion,64500,81100,104600,135000,169900,113300,Business Planning Development,Lead,
Leitung Digitaleinheit,62200,78300,101000,130300,163900,109300,Business Planning Development,Lead,
Leitung Strategie,68600,86300,111300,143700,180700,120500,Business Planning Development,Lead,
Leitung Unternehmensplanung/-entwicklung,66900,84200,108600,140200,176300,117600,Business Planning Development,Lead,
Sachbearbeitung Expansion,34500,40900,48800,58200,68200,50700,Business Planning Development,Junior,
Sachbearbeitung Strategie,37100,44100,52600,62800,73500,54700,Business Planning Development,Junior,
Sachbearbeitung Unternehmensentwicklung,37200,44200,52700,62800,73600,54700,Business Planning Development,Junior,
Spezialist Digitalisierung,42000,51300,63100,77200,92400,66300,Business Planning Development,Mid,
Spezialist Franchise,51100,61200,74700,91300,109400,78500,Business Planning Development,Mid,
Spezialist Strategie,48200,57700,70500,86100,103200,74000,Business Planning Development,Mid,
Spezialist Unternehmensentwicklung,53000,63400,77500,94700,113400,81400,Business Planning Development,Mid,
Leitung Investor Relations,69700,87600,113100,145900,183500,122400,Communication Public Relations,Lead,
Leitung Unternehmenskommunikation/PR,54200,68100,87900,113500,142700,95200,Communication Public Relations,Lead,
Online Redakteur/Content Manager,37600,45000,55000,67200,80500,57800,Communication Public Relations,Senior,
Redakteur/Content Manager,40700,48800,59600,72800,87200,62600,Communication Public Relations,Senior,
Referent Online Unternehmenskommunikation/PR,42400,50700,62000,75700,90700,65100,Communication Public Relations,Mid,
Referent Unternehmenskommunikation/PR,41900,50100,61300,74800,89600,64300,Communication Public Relations,Mid,
Sachbearbeitung Investor Relations,32800,39000,46500,55500,65000,48300,Communication Public Relations,Junior,
Sachbearbeitung Unternehmenskommunikation/PR,32000,38000,45400,54100,63400,47100,Communication Public Relations,Junior,
Spezialist Investor Relations,52200,62600,76400,93400,111800,80300,Communication Public Relations,Mid,
Technische(r) Redakteur,34000,41600,51200,62600,75000,53800,Communication Public Relations,,
Konstruktionsingenieur,44900,54700,66900,81700,97800,70200,Construction,,
Konstruktionstechniker,43000,48400,54900,62100,69500,55900,Construction,,
Leitung Konstruktion,57300,72100,93100,120100,151000,100700,Construction,Lead,
Technischer Produktdesigner,39200,44100,50000,56600,63300,50900,Construction,,
Expert Call Center,37600,45100,55000,67300,80500,57800,Customer Support,,
Leitung Call Center,38300,48100,62100,80100,100800,67200,Customer Support,Lead,
Leitung Kundendienst/Kundenbetreuung,47700,60000,77400,99900,125600,83800,Customer Support,Lead,
Mitarbeiter Call Center,26600,31500,37600,44800,52500,39000,Customer Support,,
Sachbearbeitung Kundendienst/Kundenbetreuung,31400,37300,44400,53000,62100,46200,Customer Support,Junior,
Servicetechniker/Kundendienst,36900,41300,46700,52900,59200,47600,Customer Support,,
Spezialist Kundendienst/Kundenbetreuung,38400,46000,56200,68600,82200,59000,Customer Support,Mid,
Spezialist technischer Kundendienst,40200,48100,58800,71900,86100,61800,Customer Support,Mid,
Grafik-Designer,34800,41600,50900,62200,74400,53400,Design,,
Produkt-Designer,36800,44000,53800,65700,78700,56500,Design,,
Videographer/Cutter,32900,39200,47300,56500,66100,49200,Design,,
Gehaltsbuchhalter,38000,46400,57200,69900,83800,60100,Human Ressources,,
HR-Business Partner (global),61000,73100,89300,109100,130600,93800,Human Ressources,,
HR-Business Partner (national/Standort),47600,57000,69600,85100,101900,73100,Human Ressources,,
Leitung Compensation & Benefits,57200,71900,92800,119800,150600,100500,Human Ressources,Lead,
Leitung FÃ¼hrungskrÃ¤fteentwicklung,52500,66100,85200,110000,138400,92300,Human Ressources,Lead,
Leitung Gehaltsabrechnung,45900,57700,74400,96100,120800,80600,Human Ressources,Lead,
Leitung Personal,59000,74200,95800,123600,155500,103700,Human Ressources,Lead,
Leitung Personalentwicklung/Ausbildung,51500,64800,83700,107900,135800,90600,Human Ressources,Lead,
Leitung Personalrekrutierung,50000,62900,81200,104800,131900,87900,Human Ressources,Lead,
Leitung Personalverwaltung,54400,68500,88300,114000,143400,95600,Human Ressources,Lead,
Leitung Training,51900,65300,84300,108700,136800,91200,Human Ressources,Lead,
Referent Compensation & Benefits,44100,52800,64500,78800,94300,67700,Human Ressources,Mid,
Referent Personal,45000,54300,66300,81000,97000,69600,Human Ressources,Mid,
Referent Personalentwicklung,44100,52800,64500,78800,94400,67700,Human Ressources,Mid,
Referent Personalrekrutierung,40000,48000,58600,71600,85700,61500,Human Ressources,Mid,
Sachbearbeitung Compensation & Benefits,35100,41900,50100,59700,69900,52000,Human Ressources,Junior,
Sachbearbeitung Gehaltsbuchhaltung,35800,42700,51100,61000,71400,53100,Human Ressources,Junior,
Sachbearbeitung Personal,41400,49300,58800,70100,82100,61000,Human Ressources,Junior,
Sachbearbeitung Personalentwicklung,32900,39200,46800,55800,65400,48600,Human Ressources,Junior,
Sachbearbeitung Personalrekrutierung,32300,38500,46000,54900,64300,47800,Human Ressources,Junior,
Trainer,44300,53000,64800,79100,94800,68000,Human Ressources,,
Leitung Leistung/Schaden,52600,66100,85400,110100,138600,92400,Insurance,Lead,
Schadenregulierer (AuÃŸendienst),36900,43600,51900,61900,72600,54000,Insurance,,
Schadenregulierer (Innendienst),33300,39700,47300,56400,66100,49100,Insurance,,
Schadenregulierer KFZ,32600,38600,46000,54800,64200,47800,Insurance,,
Compliance Manager,51600,61700,75400,92200,110400,79200,Legal,Senior,
Datenschutzbeauftragte(r),46700,57000,69900,85400,102300,73400,Legal,,
Leitung Compliance,63500,79800,103000,132900,167200,111500,Legal,Lead,
Leitung Recht,65300,82200,106100,136900,172200,114800,Legal,Lead,
Patentanwalt/PatentanwÃ¤ltin,57000,68300,83500,102000,122100,87600,Legal,,
Referent Recht,50800,60900,74400,90800,108800,78100,Legal,Mid,
Sachbearbeitung Compliance,37300,44300,52900,63000,73900,54900,Legal,Junior,
Sachbearbeitung Recht,36800,43800,52200,62200,72900,54200,Legal,Junior,
Unternehmensjurist,60200,72000,88000,107500,128800,92400,Legal,,
Facharbeiter Lagerverwaltung,33600,37600,42500,48200,53900,43400,Logistics,Junior,
Leitung Fuhrpark,42100,53500,69000,89000,112000,74700,Logistics,Lead,
Facharbeiter Logistik,31100,34800,39400,44600,49900,40100,Logistics,Junior,
Leitung Lager,36900,46800,60300,77900,97900,65300,Logistics,Lead,
Leitung Lagerkontrolle,34800,43800,56500,72900,91700,61100,Logistics,Lead,
Leitung Logistik/Supply Chain Management,54100,68100,87800,113300,142600,95100,Logistics,Lead,
Leitung Logistik/Materialwirtschaft/Einkauf,57500,72300,93300,120400,151500,101000,Logistics,Lead,
Leitung Operations,58400,73500,94800,122400,154000,102700,Logistics,Lead,
Leitung Spedition,49200,62300,80400,103700,130500,87000,Logistics,Lead,
LKW-Fahrer,31400,35100,39700,45000,50300,40500,Logistics,,
Operations Manager,39300,47900,58600,71600,85700,61500,Logistics,Senior,
Projektleitung Logistik/Supply Chain Management,49600,60500,73900,90300,108100,77600,Logistics,Lead,
Sachbearbeitung Import/Export,31700,37700,45000,53600,62800,46700,Logistics,Junior,
Spezialist Logistik/Supply Chain Management,38900,47400,57900,70700,84700,60800,Logistics,Mid,
Staplerfahrer,31700,35500,40200,45500,50900,41000,Logistics,,
un- oder angelernte Arbeiter Logistik,25800,28900,32700,37100,41400,33300,Logistics,Junior,
Leitung Marketing,56700,71400,92100,118800,149500,99700,Marketing,Lead,
Leitung Marktforschung,55600,70000,90300,116500,146500,97700,Marketing,Lead,
Leitung Produktmanagement,53700,67600,87200,112500,141600,94400,Marketing,Lead,
Leitung Werbung,48800,61400,79200,102200,128600,85800,Marketing,Lead,
Marketing Analyst,40800,48900,59800,73000,87400,62800,Marketing,,
Produktmanager,45000,53900,65900,80500,96400,69200,Marketing,Senior,
Referent Marketing,43500,52100,63700,77800,93200,66900,Marketing,Mid,
Referent Marktforschung,45000,54400,66400,81200,97200,69800,Marketing,Mid,
Referent Online Marketing,41200,49400,60300,73700,88300,63300,Marketing,Mid,
Sachbearbeitung Marketing,33000,39300,46800,55900,65500,48700,Marketing,Junior,
Spezialist Werbung,48900,58600,71600,87500,104800,75200,Marketing,Mid,
Spezialist Online Werbung,40600,48600,59400,72600,86900,62400,Marketing,Mid,
Fachreferent Arzneimittelzulassung,43700,52400,64000,78200,93600,67200,Medical Technology,Mid,
Leitung (Produkt-)Zulassung/Regulatory Affairs Manager,60300,75900,97900,126400,159000,106000,Medical Technology,Lead,
Manager Gesundheitspolitik,63900,76600,93500,114300,136900,98200,Medical Technology,Senior,
Medizinischer/Medizinische Berater/Expert,52900,63400,77500,94700,113400,81400,Medical Technology,,
Produktspezialist OP/Intensiv,43700,52400,64000,78200,93600,67200,Medical Technology,Mid,
Anlagenmechaniker,35500,39700,44900,50900,56900,45800,Production,,
Assistent der Produktionsleitung,37100,45400,55400,67700,81100,58200,Production,Lead,
Betriebsleitung,61400,77300,99700,128700,161900,108000,Production,Lead,
Elektroniker fÃ¼r Automatisierungstechnik,35400,39600,44900,50800,56800,45700,Production,,
Elektroniker fÃ¼r Betriebstechnik,38800,43300,49100,55600,62200,50000,Production,,
Facharbeiter Produktion,34000,38100,43100,48800,54600,44000,Production,Junior,
Fachkraft fÃ¼r Metalltechnik Fachrichtung Zerspanungstechnik,36100,40400,45700,51800,57900,46600,Production,Junior,
Industriemechaniker (GerÃ¤te- und Feinwerktechnik),38300,42800,48500,54900,61500,49400,Production,,
"Industriemechaniker (Maschinen, System-, Produktions-, Betriebstechnik)",37500,42000,47500,53800,60200,48400,Production,,
Ingenieur Fertigung/Produktion/Betrieb,43200,52600,64300,78500,94000,67500,Production,,
Ingenieur Produktions- und Verfahrenstechnik,43000,52100,63600,77700,93100,66800,Production,,
Ingenieur Werksplanung und Instandhaltung,43700,52800,64500,78800,94400,67800,Production,,
Lackierer (Verfahrensmechaniker fÃ¼r Beschichtungstechnik),34600,38700,43900,49700,55600,44700,Production,,
Leitung Arbeitsvorbereitung/Produktionsplanung,47000,59100,76200,98400,123800,82500,Production,Lead,
Leitung AuÃŸenmontage/Services,43600,54900,70800,91400,114900,76600,Production,Lead,
Leitung Inbetriebsetzung,46800,58900,76000,98100,123400,82300,Production,Lead,
Leitung Produktion/Fertigung/Herstellung,51900,65300,84300,108700,136800,91200,Production,Lead,
Leitung Produktions- und Verfahrenstechnik,56300,70900,91400,118000,148400,99000,Production,Lead,
Leitung Werksplanung und Instandhaltung,48400,60900,78500,101400,127500,85000,Production,Lead,
Maschineneinrichter (Maschinen- und AnlagenfÃ¼hrer),33200,37100,42100,47600,53300,42900,Production,,
Mechatroniker,33900,37900,42900,48600,54400,43700,Production,,
Meister Produktion,38500,49700,64100,82800,104100,69400,Production,,
Metallbauer,33900,37900,42900,48600,54400,43800,Production,,
Monteur,33800,37800,42800,48400,54200,43600,Production,,
SchweiÃŸer,34900,39000,44200,50100,56000,45000,Production,,
Sachbearbeitung Arbeitsvorbereitung/Produktionsplanung,35000,41600,49600,59200,69400,51600,Production,Junior,
Spezialist Arbeitsvorbereitung/Produktionsplanung,40200,49100,60700,74200,88900,63800,Production,Mid,
Techniker Produktion,38200,46700,57000,69700,83400,59900,Production,,
ungelernte(r) Arbeiter Produktion,29500,33000,37300,42300,47300,38000,Production,,
Verfahrensmechaniker (Kunststoff und Kautschuk),35400,39600,44800,50700,56700,45700,Production,,
Vorarbeiter (SchichtfÃ¼hrer),38200,42800,48400,54900,61400,49400,Production,,
Werkzeugmechaniker,35500,39800,45100,51100,57100,46000,Production,,
Zerspanungsmechaniker,40100,44900,50800,57600,64400,51800,Production,,
Leitung Projektmanagement,59500,74800,96500,124600,156700,104500,Project Management,Lead,
Leitung Projektmanagement Office,58600,73700,95200,122800,154500,103000,Project Management,Lead,
Projektleitung,51600,61800,75500,92300,110500,79300,Project Management,Lead,
Category Manager,47600,57000,69700,85100,102000,73200,Purchasing Procurement,Senior,
Disponent,31500,37300,44500,53000,62100,46200,Purchasing Procurement,,
Leitung Category Management,55800,70200,90600,116900,147100,98100,Purchasing Procurement,Lead,
Leitung Disposition,48800,61400,79200,102300,128600,85800,Purchasing Procurement,Lead,
Leitung Einkauf,56200,70700,91300,117800,148100,98800,Purchasing Procurement,Lead,
Leitung Materialwirtschaft,52500,66000,85200,110000,138300,92300,Purchasing Procurement,Lead,
Sachbearbeitung Einkauf,34500,41100,49000,58400,68400,50800,Purchasing Procurement,Junior,
Sachbearbeitung Materialwirtschaft,30000,35600,42500,50600,59300,44100,Purchasing Procurement,Junior,
Spezialist Einkauf,43200,52300,63900,78100,93500,67100,Purchasing Procurement,Mid,
Assortment Manager,42600,51600,63000,77000,92200,66200,Purchasing Procurement,Senior,
CSR-/Nachhaltigkeitsmanager,45100,55100,67800,82800,99200,71200,Quality Management,Senior,
Leitung Arbeitssicherheit,52400,65900,85100,109800,138100,92100,Quality Management,Lead,
Leitung QualitÃ¤tsmanagement/QualitÃ¤tswesen,51500,64800,83600,107900,135700,90500,Quality Management,Lead,
Leitung Umweltschutz,53700,67500,87100,112400,141500,94300,Quality Management,Lead,
Sachbearbeitung QualitÃ¤tswesen,31800,38000,45900,54700,64100,47700,Quality Management,Junior,
Spezialist Umweltschutz,45800,56000,68800,84100,100700,72300,Quality Management,Mid,
Spezialist Arbeitssicherheit,41000,50000,61500,75200,90000,64600,Quality Management,Mid,
Spezialist/Beauftragter/Beauftragte QualitÃ¤tswesen,41400,50500,62100,75900,90800,65200,Quality Management,Mid,
Architekt,45100,54000,66000,80600,96500,69300,Real Estate,,
Asset Manager (Immobilien),51900,62200,76000,92800,111200,79800,Real Estate,Senior,
Bauingenieur,45900,55000,67200,82100,98300,70500,Real Estate,,
Immobilien-/Hausverwalter,36100,44200,54200,66300,79400,57000,Real Estate,,
Immobilienbewerter,43300,52300,63900,78100,93600,67200,Real Estate,,
KaufmÃ¤nnischer/KaufmÃ¤nnische Objektmanager,35600,42300,50500,60200,70600,52400,Real Estate,Senior,
Leitung Asset Management (Immobilien),60900,76600,98800,127500,160300,106900,Real Estate,Lead,
Leitung Bau und Instandhaltung,57300,72000,93000,120000,150900,100700,Real Estate,Lead,
Leitung Immobilienbewertung,56000,70500,90900,117400,147600,98500,Real Estate,Lead,
Leitung Nebenkostenabrechnung,42500,53400,68900,89000,111900,74600,Real Estate,Lead,
Leitung Projektentwicklung,70600,88900,114700,148000,186100,124100,Real Estate,Lead,
Leitung Projektsteuerung,57700,72500,93600,120800,151900,101300,Real Estate,Lead,
Leitung Vermietungsmanagement,54700,68800,88700,114500,144000,96100,Real Estate,Lead,
Makler,38200,45700,55900,68300,81800,58700,Real Estate,,
Sachbearbeitung Immobilienbewertung,32200,38400,45800,54700,64000,47600,Real Estate,Junior,
Projektsteuerung,46400,55500,67900,82900,99300,71300,Real Estate,,
Sachbearbeitung Mietenbuchhaltung/Mahn- und Klagewesen,33900,40300,48100,57400,67200,50000,Real Estate,Junior,
Sachbearbeitung Nebenkostenabrechnung,32200,38400,45900,54700,64100,47600,Real Estate,Junior,
SachverstÃ¤ndige:r Immobilien,39000,47200,57600,70400,84300,60500,Real Estate,,
Spezialist Projektentwicklung,52500,62900,76800,93900,112400,80700,Real Estate,Mid,
Technischer/Technische Objektmanager,41300,49500,60500,73900,88500,63500,Real Estate,Senior,
Vermietungsmanager,39200,47400,57900,70800,84800,60800,Real Estate,Senior,
Applikationsingenieur,45100,54100,66100,80700,96700,69400,Research Development,,
Expert Produktzulassung/Homologation,47900,57300,70100,85600,102500,73600,Research Development,,
Ingenieur Entwicklungsschwerpunkt,45000,53900,65800,80400,96300,69100,Research Development,,
Laborfachkraft,32300,38500,46500,55500,65000,48300,Research Development,Junior,
Leitung Forschung und Entwicklung,58500,73600,95000,122600,154200,102800,Research Development,Lead,
Leitung Labor,50700,63800,82300,106200,133600,89100,Research Development,Lead,
Leitung Produktentwicklung,59300,74600,96300,124300,156300,104300,Research Development,Lead,
Projektleitung Forschung und Entwicklung,49900,59700,72900,89100,106700,76600,Research Development,Lead,
Manager Produktentwicklung,44300,53000,64700,79100,94700,68000,Research Development,Senior,
Sachbearbeitung Forschung und Entwicklung,34700,41300,50000,59600,69900,51900,Research Development,Junior,
Softwareingenieur,45100,54000,65900,80500,96500,69200,Research Development,,
Spezialist Forschung und Entwicklung,43000,51700,63100,77100,92300,66300,Research Development,Mid,
Testingenieur,42700,51200,62600,76500,91600,65700,Research Development,,
Account Manager Online,45700,54700,66800,81600,97700,70200,Sales Operation Distribution,Senior,
AuÃŸendienstmitarbeiter Vertrieb,39500,47200,57700,70500,84500,60600,Sales Operation Distribution,,
Channel Manager,45800,55200,67400,82300,98600,70800,Sales Operation Distribution,Senior,
Expert VertriebsunterstÃ¼tzung,38700,46300,56600,69100,82800,59400,Sales Operation Distribution,,
Gebiets-/Regionalverkaufsleitung (Sparten-/Produktverkaufsleitung),51300,64600,83300,107500,135300,90200,Sales Operation Distribution,Lead,
Key-Account-Manager,50400,60400,73800,90200,108000,77500,Sales Operation Distribution,Senior,
Kundenberater/Account Manager,43800,52500,64100,78300,93800,67300,Sales Operation Distribution,Senior,
Leitung AuÃŸendienst,54900,69000,89100,114900,144600,96400,Sales Operation Distribution,Lead,
Leitung Export,59800,75200,97000,125200,157500,105000,Sales Operation Distribution,Lead,
"Leitung Gewerbe- und Firmenkunden (ohne Banken, Versicherungen)",60300,75800,97900,126300,158900,106000,Sales Operation Distribution,Lead,
